time,price,number
Mar 21 2015 01 0,63.392,216
Mar 22 2015 01 0,60.884,221
Mar 23 2015 01 0,60.315,206
Mar 24 2015 01 0,61.825,183
Mar 25 2015 01 0,63.015,186
Mar 26 2015 01 0,61.793,207
Mar 27 2015 01 0,65.09,217
Mar 28 2015 01 0,61.755,256
Mar 29 2015 01 0,59.598,255
Mar 30 2015 01 0,59.059,230
Mar 31 2015 01 0,59.935,223
Apr 01 2015 01 0,59.478,268
Apr 02 2015 01 0,62.554,255
Apr 03 2015 01 0,61.2,249
Apr 04 2015 01 0,61.453,300
Apr 05 2015 01 0,61.911,269
Apr 06 2015 01 0,64.455,256
Apr 07 2015 01 0,64.017,293
Apr 08 2015 01 0,64.033,237
Apr 09 2015 01 0,63.678,251
Apr 10 2015 01 0,65.436,223
Apr 11 2015 01 0,60.59,348
Apr 12 2015 01 0,61.951,258
Apr 13 2015 01 0,60.995,230
Apr 14 2015 01 0,58.426,241
Apr 15 2015 01 0,56.003,236
Apr 16 2015 01 0,51.786,411
Apr 17 2015 01 0,50.024,390
Apr 18 2015 01 0,50.289,343
Apr 19 2015 01 0,48.446,278
Apr 20 2015 01 0,48.015,296
Apr 21 2015 01 0,46.711,248
Apr 22 2015 01 0,45.961,268
Apr 23 2015 01 0,47.019,249
Apr 24 2015 01 0,45.675,313
Apr 25 2015 01 0,47.079,323
Apr 26 2015 01 0,45.522,274
Apr 27 2015 01 0,44.245,288
Apr 28 2015 01 0,45.124,237
Apr 29 2015 01 0,46.84,232
Apr 30 2015 01 0,47.659,316
May 01 2015 01 0,43.054,373
May 02 2015 01 0,46.045,320
May 03 2015 01 0,45.121,262
May 04 2015 01 0,42.924,307
May 05 2015 01 0,43.202,284
May 06 2015 01 0,44.708,278
May 07 2015 01 0,46.107,242
May 08 2015 01 0,44.693,306
May 09 2015 01 0,44.992,327
May 10 2015 01 0,43.364,336
May 11 2015 01 0,44.783,249
May 12 2015 01 0,45.56,231
May 13 2015 01 0,45.72,238
May 14 2015 01 0,42.355,237
May 15 2015 01 0,42.827,274
May 16 2015 01 0,46.051,297
May 17 2015 01 0,43.558,295
May 18 2015 01 0,42.936,231
May 19 2015 01 0,46.18,227
May 20 2015 01 0,44.761,226
May 21 2015 01 0,43.84,235
May 22 2015 01 0,43.369,308
May 23 2015 01 0,43.797,298
May 24 2015 01 0,41.355,294
May 25 2015 01 0,41.796,305
May 26 2015 01 0,42.978,271
May 27 2015 01 0,33.003,600
May 28 2015 01 0,35.684,392
May 29 2015 01 0,36.3,414
May 30 2015 01 0,38.153,390
May 31 2015 01 0,39.106,328
Jun 01 2015 01 0,39.908,313
Jun 02 2015 01 0,39.898,272
Jun 03 2015 01 0,40.18,299
Jun 04 2015 01 0,39.352,296
Jun 05 2015 01 0,36.597,336
Jun 06 2015 01 0,37.648,332
Jun 07 2015 01 0,37.529,304
Jun 08 2015 01 0,38.927,304
Jun 09 2015 01 0,39.659,310
Jun 10 2015 01 0,39.35,307
Jun 11 2015 01 0,38.478,296
Jun 12 2015 01 0,36.282,358
Jun 13 2015 01 0,34.751,342
Jun 14 2015 01 0,33.823,360
Jun 15 2015 01 0,34.49,330
Jun 16 2015 01 0,34.075,342
Jun 17 2015 01 0,33.044,334
Jun 18 2015 01 0,34.355,318
Jun 19 2015 01 0,35.047,353
Jun 20 2015 01 0,36.076,299
Jun 21 2015 01 0,34.184,327
Jun 22 2015 01 0,35.273,325
Jun 23 2015 01 0,38.171,243
Jun 24 2015 01 0,40.925,271
Jun 25 2015 01 0,40.979,235
Jun 26 2015 01 0,40.777,276
Jun 27 2015 01 0,38.737,255
Jun 28 2015 01 0,38.165,259
Jun 29 2015 01 0,39.761,282
Jun 30 2015 01 0,39.656,259
Jul 01 2015 01 0,41.957,263
Jul 02 2015 01 0,41.393,228
Jul 03 2015 01 0,39.386,276
Jul 04 2015 01 0,41.062,231
Jul 05 2015 01 0,40.382,230
Jul 06 2015 01 0,38.062,298
Jul 07 2015 01 0,39.264,257
Jul 08 2015 01 0,39.683,218
Jul 09 2015 01 0,39.111,290
Jul 10 2015 01 0,38.791,288
Jul 11 2015 01 0,38.176,269
Jul 12 2015 01 0,37.812,298
Jul 13 2015 01 0,37.046,285
Jul 14 2015 01 0,38.138,245
Jul 15 2015 01 0,39.137,239
Jul 16 2015 01 0,37.905,238
Jul 17 2015 01 0,37.961,277
Jul 18 2015 01 0,38.845,259
Jul 19 2015 01 0,36.965,276
Jul 20 2015 01 0,38.246,242
Jul 21 2015 01 0,38.378,282
Jul 22 2015 01 0,40.769,214
Jul 23 2015 01 0,38.243,252
Jul 24 2015 01 0,38.361,230
Jul 25 2015 01 0,38.52,219
Jul 26 2015 01 0,37.008,223
Jul 27 2015 01 0,37.64,268
Jul 28 2015 01 0,36.764,260
