time,price,number
Dec 03 2014 01 0,30.035,261
Dec 04 2014 01 0,30.669,260
Dec 05 2014 01 0,31.628,323
Dec 06 2014 01 0,34.58,321
Dec 07 2014 01 0,32.831,338
Dec 08 2014 01 0,31.045,309
Dec 09 2014 01 0,31.628,272
Dec 10 2014 01 0,30.455,294
Dec 11 2014 01 0,33.111,298
Dec 12 2014 01 0,30.884,320
Dec 13 2014 01 0,31.819,334
Dec 14 2014 01 0,31.82,330
Dec 15 2014 01 0,32.453,287
Dec 16 2014 01 0,31.226,305
Dec 17 2014 01 0,30.682,336
Dec 18 2014 01 0,29.159,293
Dec 19 2014 01 0,29.944,356
Dec 20 2014 01 0,29.583,347
Dec 21 2014 01 0,29.606,347
Dec 22 2014 01 0,28.928,339
Dec 23 2014 01 0,29.02,375
Dec 24 2014 01 0,28.408,468
Dec 25 2014 01 0,32.972,425
Dec 26 2014 01 0,32.778,411
Dec 27 2014 01 0,32.62,455
Dec 28 2014 01 0,33.505,366
Dec 29 2014 01 0,32.552,400
Dec 30 2014 01 0,32.726,382
Dec 31 2014 01 0,33.905,354
Jan 01 2015 01 0,32.287,334
Jan 02 2015 01 0,32.608,427
Jan 03 2015 01 0,33.114,414
Jan 04 2015 01 0,35.608,428
Jan 05 2015 01 0,34.012,359
Jan 06 2015 01 0,34.038,322
Jan 07 2015 01 0,35.537,346
Jan 08 2015 01 0,35.635,391
Jan 09 2015 01 0,36.132,645
Jan 10 2015 01 0,37.743,578
Jan 11 2015 01 0,36.876,504
Jan 12 2015 01 0,36.216,441
Jan 13 2015 01 0,35.961,455
Jan 14 2015 01 0,36.604,413
Jan 15 2015 01 0,36.584,467
Jan 16 2015 01 0,34.731,513
Jan 17 2015 01 0,33.488,478
Jan 18 2015 01 0,34.318,520
Jan 19 2015 01 0,33.863,442
Jan 20 2015 01 0,34.36,421
Jan 21 2015 01 0,33.994,377
Jan 22 2015 01 0,32.768,463
Jan 23 2015 01 0,34.693,498
Jan 24 2015 01 0,35.514,564
